CODIGOEAN13,Tipo,Nom_Prod,Concent,Nom_Form_Farm,Nom_Form_Farm_Simplif,Presentac,Fracciones,Fec_Vcto_Reg_Sanitario,Num_RegSan,Nom_Titular
7751128000610,13,BENCIL PENICILINA BENZATINICA 1200 MG X 1,,,,,1,,,LABORATORIOS AMERICANOS S.A.
7751128000689,13,BROMURO DE IPRATROPIO 20 MCG (LABOT),20mcg,INHALADOR,INH,INH X 200 DOSIS,1,1/4/2017,EG-5585,LABOT
7751128000696,13,METAMIZOL AMPX1GRX1 (LABO),,,,,1,,,LABORATORIOS AMERICANOS S.A.
7751128000849,13,DEXAMETASONA,4mg/2mL,Solución para Inyección,Inyectable,Caja Amp. X 2 mL,1,6/14/2012,EG5385,LABOT
7751128000986,13,CLORURO DE SODIO LABOT AMP 20% 20ML,20%,AMPOLLA,AMP,CAJA,25,,EE00897,LABOT
7751128001181,13,MEROPENEM,500 MG,MEROPENEM,MEROPENEM,AMPOLLA,1,1/5/2018,EG-5614,LABOT
7751128001228,13,BUDESONIDA 200 MCG /DOSIS AEROSOL,,,,,1,,,LABORATORIOS AMERICANOS S.A.
7751128001273,13,METFORMINA  850MG  X 1 TAB.,,,,,1,,,LABORATORIOS AMERICANOS S.A.
7751128001341,13,ACIDO ACETILS. 100MG CJA X 100,100 MG.,COMPRIMIDO,COMPRIMIDO,CAJA,100,1/20/2022,EE-04655,LABOT
7751128001396,13,SALBUTAMOL AEROSOL 100MG FCO (LAM),,,,,1,,,LABORATORIOS AMERICANOS S.A.
7751128001785,13,OXITOCINA 10 UI/ML,10 UI/ML,Solución Inyectable,Inyectable,Caja x 100,1,,EE02493,LABOT
7751151013342,13,CATUG CROMICO 4/0,,CATGUT CROMICO,,UNIDAD,1,1/8/2019,DM0096N,TAGUN
7751151016480,13,POLIPROPILENO,MONOFILAMENTO,SUTURA,SUTURA,SUTURA,1,,DM0098N,TAGUN
7751180001005,13,CLINFOL DUO,,Cápsula Blanda Vaginal,Ovulo,Caja Cap.,7,12/9/2010,E17915,TECNOFARMA
7751198000015,13,ADENEX,2mg,Comprimido,Tableta,Caja Comp.,15,10/19/2009,E12244,TECNOFARMA
7751198000022,13,ADENEX,5 MG.,COMPRIMIDOS,COMPRIMIDOS,CAJA,30,,E-12245,TECNOFARMA
7751198000039,13,ADENEX,5mg,Comprimido,Tableta,Caja Comp.,15,10/19/2009,E12245,TECNOFARMA
7751198000053,13,ADENEX,10mg,Comprimido,Tableta,Caja Comp.,30,3/20/2010,E12730,TECNOFARMA
7751198000060,13,ATENUAL,30mg,Comprimido,Tableta,Caja Comp.,30,2/18/2013,E15291,TECNOFARMA
7751198000091,13,CLINFOL,100mg,Ovulo,Ovulo,Caja Ov.,7,9/8/2013,E11136,TECNOFARMA
7751198000121,13,GESLUTIN PNM,100mg,Cápsula Blanda,Capsula,Caja Cap.,20,12/19/2013,E16096,TECNOFARMA
7751198000138,13,IRRIGOR,30mg,Comprimido Recubierto,Tableta,Caja Comp.,50,4/26/2012,E14582,TECNOFARMA
7751198000145,13,IRRIGOR,30mg,Comprimido Recubierto,Tableta,Caja Comp.,90,4/26/2012,E14582,TECNOFARMA
7751198000152,13,IRRIGOR FORTE,60mg,Comprimido Recubierto,Tableta,Caja Comp.,30,9/22/2010,E13237,TECNOFARMA
7751198000169,13,IRRIGOR PLUS,,Comprimido Recubierto,Tableta,Caja Comp.,30,5/8/2012,E14612,TECNOFARMA
7751198000176,13,MUTUM,150mg,Cápsula,Capsula,Caja Cap.,2,1/12/2011,E13535,TECNOFARMA
7751198000183,13,mutun 150 mg,150mg,capsulas,caps,capsulas,1,,E-13535,TECNOFARMA
7751198000190,13,NASTERIL,5MG,TABLETAS,TABLETAS,CAJA,30,,E-14500,TECNOFARMA
7751198000213,13,NOLOTEN,5mg,Comprimido,Tableta,Caja Comp.,20,1/30/2010,E7917,TECNOFARMA
7751198000220,13,NOLOTEN,10mg,Comprimido,Tableta,Caja Comp.,10,1/30/2010,E7916,TECNOFARMA
7751198000237,13,NOVACILINA,500mg,Comprimido Recubierto,Tableta,Caja Comp.,7,8/29/2011,E14125,TECNOFARMA
7751198000275,13,NULYTELY,,Polvo para Solución Oral,Solucion,Caja Sob.,4,11/14/2010,E13361,TECNOFARMA
7751198000282,13,NULYTELY CAJA X 4 SOBRES,,SOBRE,SBR,CJA X 4,4,12/6/2017,EE03717,TECNOFARMA S.A.
7751198000305,13,REFLUCIL,2.5mg,Comprimido Recubierto,Tableta,Caja Comp.,30,6/21/2011,E13962,TECNOFARMA
7751198000312,13,REFLUCIL,5mg,Comprimido Recubierto,Tableta,Caja Comp.,30,6/4/2012,E13911,TECNOFARMA
7751198000329,13,RETEVEN,5mg,Comprimido,Tableta,Caja Comp.,30,6/25/2012,E14740,TECNOFARMA
7751198000336,13,RETEVEN COMX5MGX1,,,,,1,,,TECNOFARMA S.A.
7751198000343,13,RETEVEN CR,10mg,Tableta de Liberación Prolongada,Tableta,Caja Comp.,10,1/12/2010,E12509,TECNOFARMA
7751198000367,13,DINAFLEX,1.5g,Granulos,Granulos,Caja Sob.,30,2/14/2011,E13625,TECNOFARMA
7751198000381,13,DINAFLEX DUO,,Polvo Oral,Polvo,Caja Sob.,30,8/16/2012,E14822,TECNOFARMA
7751198000404,13,DOMINIUM,100 MG,CAJA,COMPRIMIDOS,100mg Comp. Rec. x 10,1,,E-13417,Tecnofarma S.A.
7751198000428,13,FLODIN,7.5mg,Comprimido,Tableta,Caja Comp.,30,5/9/2012,E14619,TECNOFARMA
7751198000442,13,FLODIN,15mg,Comprimido,Tableta,Caja Comp.,30,5/15/2012,E19400,TECNOFARMA
